model,quantization,ber,trial,baseline_perplexity,perplexity,ppl_ratio_vs_unperturbed,sample_1,sample_2,sample_3
roneneldan/TinyStories-1M,INT8,1.0e-07,0,33.4191,34.0773,1.0197,"Once upon a time, Mia found a red ball with two boys playing together. They were so happy and danced around in the sunshine, but the sun was all clean and","The puppy wanted to help Sam clean the room. He jumped on the door and tried to make a fire, but it wouldn't help him. He was very sad",Lina heard a tiny bell near the tree.   Lina started to think it was a magic and didn't know what to do. She tried and
roneneldan/TinyStories-1M,INT8,1.0e-07,1,33.4191,34.175,1.0226,"Once upon a time, Mia found a red ball and some fish. They all liked it very much. But then they saw a big, dark pit on the ground.",The puppy wanted to help Sam clean the room. She took the box and walked to Sarah's house. She worked hard to make the floor clean. She showed her,"Lina heard a tiny bell near the tree and asked her to play tag. It was gentle and did not want to play with it. Her mommy said,"
roneneldan/TinyStories-1M,INT8,1.0e-07,2,33.4191,34.0535,1.019,"Once upon a time, Mia found a red ball stuck in the grass. She took it to find the right thing. It was a special pitch that it was the fastest",The puppy wanted to help Sam clean the room. He put the doll on the floor and started to work. He felt proud.  But then the car started,"Lina heard a tiny bell near the tree. She stopped shaking and turned around. She smiled and hugged it.  After a while, the tree smiled."
roneneldan/TinyStories-1M,INT8,1.0e-07,3,33.4191,34.0622,1.0192,"Once upon a time, Mia found a red ball. Mia had a shiny red ball that she could play with with them.   One day, Mia saw a","The puppy wanted to help Sam clean the room. Sam wanted to help Tim by being patient, so they got to help his house. But Sam was too quick.","Lina heard a tiny bell near the tree.  ""Look, Mina,"" Lizzy said, pointing to the bell. ""I” Jenny said"
roneneldan/TinyStories-1M,INT8,1.0e-07,4,33.4191,35.1022,1.0504,"Once upon a time, Mia found a red ball in her backyard. She ran outside and found a pretty flower. It was a blue dress with a bow and some leaves","The puppy wanted to help Sam clean the room.  ""Let's be your mom,"" said Sam. ""We can help you. I have a big sister","Lina heard a tiny bell near the tree. She asked her mommy, ""What happened? Are you able to show me?""  Her mommy smiled"
roneneldan/TinyStories-1M,INT8,1.0e-06,0,33.4191,34.0621,1.0192,"Once upon a time, Mia found a red ball with two boys playing together. They were so happy and danced around in the sunshine, but the sun was all clean and","The puppy wanted to help Sam clean the room. He jumped on the door and tried to make a fire, but it wouldn't help him. He was very sad",Lina heard a tiny bell near the tree.   Lina started to think it was a magic and didn't know what to do. She tried and
roneneldan/TinyStories-1M,INT8,1.0e-06,1,33.4191,34.0698,1.0195,"Once upon a time, Mia found a red ball and some fish. They all liked it very much. But then they saw a big, dark pit on the ground.","The puppy wanted to help Sam clean the room. He picked up the pieces of colors and started to brush the floor. After a few minutes, the puppy stopped and","Lina heard a tiny bell near the tree and asked her to help. She helped her friend, and her friend, Tom, felt better. When Sarah's friend"
roneneldan/TinyStories-1M,INT8,1.0e-06,2,33.4191,34.3083,1.0266,"Once upon a time, Mia found a red ball stuck in the grass. She took it to find the right thing. It was a special pitch that it was the best",The puppy wanted to help Sam clean the room. He put the doll on the floor and started to work. He felt proud.  But then the car started,"Lina heard a tiny bell near the tree. She stopped shaking and saw Lola's eyes open in the sky. She smiled and said, ""Hi, M"
roneneldan/TinyStories-1M,INT8,1.0e-06,3,33.4191,34.1263,1.0212,"Once upon a time, Mia found a red ball. Mia had a shiny red ball that she could play with with them.   One day, Mia saw a","The puppy wanted to help Sam clean the room. Sam wanted to help Tim by being patient, so they got to help his house. But Sam was too quick.","Lina heard a tiny bell near the tree.  ""Look, Mina,"" Lizzy said, pointing to the bell. ""I” Jenny said"
roneneldan/TinyStories-1M,INT8,1.0e-06,4,33.4191,34.5116,1.0327,"Once upon a time, Mia found a red ball in her backyard. She ran outside and found a pretty flower. It was a blue dress with pink. Mia wanted to",The puppy wanted to help Sam clean the room. So Sam took a needle and started to clean it. Sam was happy with his work and went outside to play.,"Lina heard a tiny bell near the tree. She saw a man with a big red face and a lot of smoke. He said, ""Hello, Tilly"
roneneldan/TinyStories-1M,INT8,1.0e-05,0,33.4191,35.666,1.0672,"Once upon a time, Mia found a red ball with a bow. The arrow was blue and had a shiny silver collar. Mia wanted to take the bow and have a","The puppy wanted to help Sam clean the room. So, Sam's mom made it a nice blanket. Sam was happy, and he pickeded outside in the all","Lina heard a tiny bell near the tree.   Lina said to the man, ""Do you want to go to the hospital?""  The"
roneneldan/TinyStories-1M,INT8,1.0e-05,1,33.4191,34.7464,1.0397,"Once upon a time, Mia found a red ball and some fish. They all liked it very much. But soon enough, they were having fun!  One day",The puppy wanted to help Sam clean the room. He went to tell his mom about the fun things she had told him how to polish his room. Sam was happy,"Lina heard a tiny bell near the tree and asked her mom, ""Why did you go all the way, Mama?"" Her mom said, ""Lila,"
roneneldan/TinyStories-1M,INT8,1.0e-05,2,33.4191,39.7646,1.1899,"Once upon a time, Mia found a red ball stuck in the grass. She took it to find the right place. She searched, but could not find it anywhere.",The puppy wanted to help Sam clean the room. He put the doll on and started the box. Sam was very happy. They played together and had the best time,"Lina heard a tiny bell near the tree. She stopped shaking and asked, ""What's an angel?""  ""It's called a bird,"" it replied"
roneneldan/TinyStories-1M,INT8,1.0e-05,3,33.4191,37.4892,1.1218,"Once upon a time, Mia found a red ball, there was a little one. Will was a very special with a big, orange and blue and shiny. He liked","The puppy wanted to help Sam clean the room. Sam wanted to help Tim with the cloth, so they got to work and put on the cloth. After that,","Lina heard a tiny bell near the tree.  ""Look, daddy!"" Lizzie said, holding a big smile.  Daddy came over and"
