model,quantization,ber,trial,perplexity,ppl_ratio_vs_unperturbed,sample_1,sample_2,sample_3
TinyStories-1M-surrogate,INT4,0.0,0,20.09,1.03,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister so she tried it in the old blue box and found a map to a picnic.,The little robot heard music in the garden and he measured the flour carefully before asking Dad to light the oven.
TinyStories-1M-surrogate,INT4,0.0,1,18.871,0.968,Lily found a small key under the rug then it followed the tune and helped a lost bird find its nest.,Tom wanted to bake a cake for his sister and he measured the flour carefully before asking Dad to light the oven.,The little robot heard music in the garden and he measured the flour carefully before asking Dad to light the oven.
TinyStories-1M-surrogate,INT4,0.0,2,18.423,0.945,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister and he measured the flour carefully before asking Dad to light the oven.,The little robot heard music in the garden and he measured the flour carefully before asking Dad to light the oven.
TinyStories-1M-surrogate,INT4,0.0,3,19.576,1.004,Lily found a small key under the rug and he measured the flour carefully before asking Dad to light the oven.,Tom wanted to bake a cake for his sister so she tried it in the old blue box and found a map to a picnic.,The little robot heard music in the garden so she tried it in the old blue box and found a map to a picnic.
TinyStories-1M-surrogate,INT4,0.0,4,18.357,0.941,Lily found a small key under the rug then it followed the tune and helped a lost bird find its nest.,Tom wanted to bake a cake for his sister then it followed the tune and helped a lost bird find its nest.,The little robot heard music in the garden so she tried it in the old blue box and found a map to a picnic.
TinyStories-1M-surrogate,INT4,1e-08,0,20.11,1.031,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister so everyone shared the surprise and promised to be kind tomorrow.,The little robot heard music in the garden so she tried it in the old blue box and found a map to a picnic.
TinyStories-1M-surrogate,INT4,1e-08,1,18.89,0.969,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister so she tried it in the old blue box and found a map to a picnic.,The little robot heard music in the garden so everyone shared the surprise and promised to be kind tomorrow.
TinyStories-1M-surrogate,INT4,1e-08,2,18.441,0.946,Lily found a small key under the rug then it followed the tune and helped a lost bird find its nest.,Tom wanted to bake a cake for his sister so everyone shared the surprise and promised to be kind tomorrow.,The little robot heard music in the garden then it followed the tune and helped a lost bird find its nest.
TinyStories-1M-surrogate,INT4,1e-08,3,19.596,1.005,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister then it followed the tune and helped a lost bird find its nest.,The little robot heard music in the garden so everyone shared the surprise and promised to be kind tomorrow.
TinyStories-1M-surrogate,INT4,1e-08,4,18.375,0.942,Lily found a small key under the rug so she tried it in the old blue box and found a map to a picnic.,Tom wanted to bake a cake for his sister and he measured the flour carefully before asking Dad to light the oven.,The little robot heard music in the garden then it followed the tune and helped a lost bird find its nest.
TinyStories-1M-surrogate,INT4,3e-08,0,20.163,1.034,Lily found a small key under the rug then it followed the tune and helped a lost bird find its nest.,Tom wanted to bake a cake for his sister and he measured the flour carefully before asking Dad to light the oven.,The little robot heard music in the garden so everyone shared the surprise and promised to be kind tomorrow.
TinyStories-1M-surrogate,INT4,3e-08,1,18.94,0.971,Lily found a small key under the rug then it followed the tune and helped a lost bird find its nest.,Tom wanted to bake a cake for his sister and he measured the flour carefully before asking Dad to light the oven.,The little robot heard music in the garden so everyone shared the surprise and promised to be kind tomorrow.
TinyStories-1M-surrogate,INT4,3e-08,2,18.49,0.948,Lily found a small key under the rug so she tried it in the old blue box and found a map to a picnic.,Tom wanted to bake a cake for his sister then it followed the tune and helped a lost bird find its nest.,The little robot heard music in the garden so everyone shared the surprise and promised to be kind tomorrow.
TinyStories-1M-surrogate,INT4,3e-08,3,19.648,1.008,Lily found a small key under the rug so she tried it in the old blue box and found a map to a picnic.,Tom wanted to bake a cake for his sister and he measured the flour carefully before asking Dad to light the oven.,The little robot heard music in the garden so everyone shared the surprise and promised to be kind tomorrow.
TinyStories-1M-surrogate,INT4,3e-08,4,18.424,0.945,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister so everyone shared the surprise and promised to be kind tomorrow.,The little robot heard music in the garden so she tried it in the old blue box and found a map to a picnic.
TinyStories-1M-surrogate,INT4,1e-07,0,20.394,1.046,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister then it followed the tune and helped a lost bird find its nest.,The little robot heard music in the garden and he measured the flour carefully before asking Dad to light the oven.
TinyStories-1M-surrogate,INT4,1e-07,1,19.156,0.982,Lily found a small key under the rug and he measured the flour carefully before asking Dad to light the oven.,Tom wanted to bake a cake for his sister then it followed the tune and helped a lost bird find its nest.,The little robot heard music in the garden and he measured the flour carefully before asking Dad to light the oven.
TinyStories-1M-surrogate,INT4,1e-07,2,18.702,0.959,Lily found a small key under the rug and he measured the flour carefully before asking Dad to light the oven.,Tom wanted to bake a cake for his sister so she tried it in the old blue box and found a map to a picnic.,The little robot heard music in the garden then it followed the tune and helped a lost bird find its nest.
TinyStories-1M-surrogate,INT4,1e-07,3,19.872,1.019,Lily found a small key under the rug and he measured the flour carefully before asking Dad to light the oven.,Tom wanted to bake a cake for his sister and he measured the flour carefully before asking Dad to light the oven.,The little robot heard music in the garden then it followed the tune and helped a lost bird find its nest.
TinyStories-1M-surrogate,INT4,1e-07,4,18.635,0.956,Lily found a small key under the rug then it followed the tune and helped a lost bird find its nest.,Tom wanted to bake a cake for his sister then it followed the tune and helped a lost bird find its nest.,The little robot heard music in the garden so everyone shared the surprise and promised to be kind tomorrow.
